ID	Mean	SD
PC177	0.000	0.944
PC378	0.000	0.834
PC379	0.000	0.834
PC376	-0.000	0.835
PC377	0.000	0.834
PC374	-0.000	0.836
PC375	-0.000	0.835
PC372	0.000	0.837
PC373	-0.000	0.836
PC370	0.000	0.837
PC371	0.000	0.837
PC1680	-0.000	0.459
PC1681	-0.000	0.459
PC1682	-0.000	0.458
PC1683	0.000	0.458
PC1684	0.000	0.458
PC1685	0.000	0.457
PC1138	0.000	0.607
PC1139	-0.000	0.606
PC1136	0.000	0.607
PC1137	-0.000	0.607
PC1134	-0.000	0.608
PC1135	-0.000	0.608
PC1132	-0.000	0.608
PC1133	-0.000	0.608
PC1130	-0.000	0.609
PC1131	0.000	0.609
PC1222	-0.000	0.585
PC1223	0.000	0.585
PC1220	0.000	0.586
PC1221	-0.000	0.586
PC1226	-0.000	0.584
PC1227	-0.000	0.584
PC1224	-0.000	0.585
PC1225	-0.000	0.584
PC1228	-0.000	0.584
PC1229	0.000	0.584
PC1022	-0.000	0.637
PC1358	0.000	0.550
PC1359	-0.000	0.550
PC1352	0.000	0.552
PC1353	-0.000	0.552
PC1350	0.000	0.553
PC1351	0.000	0.553
PC1356	0.000	0.551
PC1357	0.000	0.550
PC1354	-0.000	0.551
PC1355	-0.000	0.551
PC1026	0.000	0.636
PC1027	0.000	0.636
PC196	-0.000	0.929
PC197	0.000	0.928
PC194	0.000	0.930
PC195	-0.000	0.929
PC192	-0.000	0.932
PC193	0.000	0.932
PC190	0.000	0.934
PC191	-0.000	0.933
PC198	0.000	0.927
PC199	-0.000	0.926
PC43	0.000	1.308
PC42	0.000	1.316
PC41	-0.000	1.322
PC40	-0.000	1.333
PC47	0.000	1.268
PC46	-0.000	1.283
PC998	0.000	0.643
PC999	0.000	0.643
PC996	0.000	0.643
PC997	-0.000	0.643
PC994	0.000	0.644
PC995	-0.000	0.644
PC992	-0.000	0.644
PC993	0.000	0.644
PC990	0.000	0.645
PC991	0.000	0.645
PC1910	0.000	0.360
PC1911	-0.000	0.360
PC1912	-0.000	0.359
PC1913	0.000	0.359
PC1914	-0.000	0.358
PC1915	0.000	0.357
PC1916	0.000	0.356
PC1917	-0.000	0.355
PC1918	0.000	0.354
PC1919	-0.000	0.353
PC772	-0.000	0.704
PC773	0.000	0.703
PC770	-0.000	0.704
PC771	-0.000	0.704
PC776	0.000	0.702
PC777	-0.000	0.702
PC774	0.000	0.703
PC775	-0.000	0.703
PC778	0.000	0.702
PC779	0.000	0.702
PC1154	-0.000	0.603
PC1155	-0.000	0.602
PC1156	0.000	0.602
PC1157	0.000	0.602
PC1150	-0.000	0.604
PC1151	-0.000	0.604
PC1152	0.000	0.603
PC1153	0.000	0.603
PC868	0.000	0.678
PC869	-0.000	0.677
PC518	-0.000	0.782
PC519	0.000	0.781
PC512	-0.000	0.783
PC513	0.000	0.783
PC510	0.000	0.784
PC511	-0.000	0.784
PC516	-0.000	0.782
PC517	-0.000	0.782
PC514	-0.000	0.783
PC515	-0.000	0.782
PC864	-0.000	0.679
PC865	0.000	0.678
PC206	0.000	0.922
PC207	-0.000	0.921
PC204	0.000	0.924
PC205	-0.000	0.922
PC202	-0.000	0.925
PC203	0.000	0.924
PC200	0.000	0.926
PC201	-0.000	0.925
PC208	-0.000	0.921
PC209	-0.000	0.920
PC349	0.000	0.846
PC348	-0.000	0.846
PC343	-0.000	0.849
